Gene.ID	Gene.Name	HGNC	EntrezGene	RefSeq	transcript_id
ENSG00000000003.14	TSPAN6	TSPAN6	7105	NM_003270.3;NM_001278740.1;NM_001278742.1	ENST00000373020.8;ENST00000612152.4;ENST00000614008.4
ENSG00000000005.5	TNMD	TNMD	64102	NM_022144.2	ENST00000373031.4
ENSG00000000419.12	DPM1	DPM1	8813	NM_001317035.1;NM_001317034.1;NM_001317036.1;NA	ENST00000371582.8;ENST00000371584.8;ENST00000371588.9;ENST00000413082.1
ENSG00000000457.13	SCYL3	SCYL3	57147	NA;NM_020423.6;NM_181093.3	ENST00000367770.5;ENST00000367771.10;ENST00000367772.8;ENST00000423670.1
ENSG00000000460.16	C1orf112	C1orf112	55732	NM_018186.3;NM_001320047.1;NA;NM_001320051.1;NM_001320050.1	ENST00000286031.10;ENST00000359326.8;ENST00000413811.3;ENST00000472795.5;ENST00000496973.5
ENSG00000000938.12	FGR	FGR	2268	NM_001042729.1;NA;NM_005248.2;NM_001042747.1	ENST00000374003.7;ENST00000374004.5;ENST00000374005.7;ENST00000399173.5;ENST00000457296.5
ENSG00000000971.15	CFH	CFH	3075	NA;NM_000186.3;NM_001014975.2	ENST00000359637.2;ENST00000367429.8;ENST00000630130.2
ENSG00000001036.13	FUCA2	FUCA2	2519	NM_032020.4;NA	ENST00000002165.10;ENST00000451668.1
ENSG00000001084.10	GCLC	GCLC	2729	NM_001498.3;NA;NM_001197115.1	ENST00000229416.10;ENST00000505197.1;ENST00000513939.5;ENST00000514004.5;ENST00000514373.2;ENST00000514933.1;ENST00000616923.4
ENSG00000001167.14	NFYA	NFYA	4800	NM_002505.4;NM_021705.3	ENST00000341376.10;ENST00000353205.5
ENSG00000001460.17	STPG1	STPG1	90529	NM_178122.4;NM_001199013.1;NM_001199012.1;NA	ENST00000003583.12;ENST00000337248.8;ENST00000374409.5;ENST00000435187.1;ENST00000438866.1
ENSG00000001461.16	NIPAL3	NIPAL3	57185	NM_001322854.1;NM_001330409.1;NM_001322865.1;NM_001322855.1;NA	ENST00000003912.7;ENST00000339255.2;ENST00000358028.8;ENST00000374399.8;ENST00000432012.1
ENSG00000001497.16	LAS1L	LAS1L	81887	NM_001170650.1;NM_001170649.1;NM_031206.4;NA	ENST00000374804.9;ENST00000374807.9;ENST00000374811.7;ENST00000469091.1
ENSG00000001561.6	ENPP4	ENPP4	22875	NM_014936.4	ENST00000321037.4
ENSG00000001617.11	SEMA3F	SEMA3F	6405	NM_004186.4;NM_001318798.1;NA;NM_001318800.1	ENST00000002829.7;ENST00000413852.5;ENST00000414301.5;ENST00000420831.1;ENST00000426511.5;ENST00000434342.5;ENST00000450338.5
ENSG00000001626.14	CFTR	CFTR	1080	NM_000492.3;NA	ENST00000003084.10;ENST00000426809.5;ENST00000446805.1;ENST00000468795.1;ENST00000600166.1
ENSG00000001629.9	ANKIB1	ANKIB1	54467	NM_019004.1;NA	ENST00000265742.7;ENST00000442183.1
ENSG00000001630.15	CYP51A1	CYP51A1	1595	NM_000786.3;NA;NM_001146152.1	ENST00000003100.12;ENST00000422867.1;ENST00000435873.1;ENST00000450723.5
ENSG00000001631.15	KRIT1	KRIT1	889	NM_004912.3;NM_001013406.1;NM_194454.1;NM_194456.1;NA	ENST00000340022.6;ENST00000394503.6;ENST00000394505.6;ENST00000394507.5;ENST00000412043.6;ENST00000413688.5;ENST00000422347.5;ENST00000425073.1;ENST00000425919.5;ENST00000430102.5;ENST00000433016.5;ENST00000440209.5;ENST00000444960.5;ENST00000445516.1;ENST00000452773.5;ENST00000454017.5;ENST00000458177.5;ENST00000458493.5
ENSG00000002016.17	RAD52	RAD52	5893	NM_001297421.1;NA;NM_001297419.1;NM_001297422.1;NM_001297420.1	ENST00000358495.7;ENST00000397230.6;ENST00000430095.6;ENST00000536177.5;ENST00000541619.1;ENST00000542785.5;ENST00000544742.5;ENST00000545564.5
ENSG00000002330.13	BAD	BAD	572	NM_032989.2;NA;NM_004322.3	ENST00000309032.7;ENST00000394531.3;ENST00000394532.7;ENST00000492141.1;ENST00000493798.1;ENST00000544785.1
ENSG00000002549.12	LAP3	LAP3	51056	NA;NM_015907.2	ENST00000226299.8;ENST00000513105.1;ENST00000606142.5;ENST00000618908.4
ENSG00000002586.18	CD99	CD99	4267	NA;NM_001122898.2;NM_001321370.1;NM_001321367.1;NM_001321368.1	ENST00000381180.8;ENST00000381184.6;ENST00000381187.8;ENST00000381192.8;ENST00000449611.6;ENST00000611428.5;ENST00000624481.4
ENSG00000002586.18_PAR_Y	CD99	CD99	4267	NA;NM_001122898.2;NM_001321370.1;NM_001321367.1;NM_001321368.1	ENST00000381180.8_PAR_Y;ENST00000381184.6_PAR_Y;ENST00000381187.8_PAR_Y;ENST00000381192.8_PAR_Y;ENST00000449611.6_PAR_Y;ENST00000611428.5_PAR_Y;ENST00000624481.4_PAR_Y
ENSG00000002587.9	HS3ST1	HS3ST1	9957	NM_005114.2;NA	ENST00000002596.5;ENST00000510712.1;ENST00000514690.5
ENSG00000002726.20	AOC1	AOC1	26	NM_001091.3;NM_001272072.1;NA	ENST00000360937.8;ENST00000416793.6;ENST00000460213.1;ENST00000467291.5;ENST00000483043.1;ENST00000493429.5
ENSG00000002745.12	WNT16	WNT16	51384	NM_057168.1;NM_016087.2	ENST00000222462.2;ENST00000361301.6
ENSG00000002746.14	HECW1	HECW1	23072	NM_015052.4;NA;NM_001287059.1	ENST00000395891.6;ENST00000429529.1;ENST00000453890.5
ENSG00000002822.15	MAD1L1	MAD1L1	8379	NA;NM_001013836.1;NM_001304524.1;NM_001304525.1	ENST00000265854.11;ENST00000399654.6;ENST00000402746.5;ENST00000406869.5;ENST00000421113.5;ENST00000429625.5;ENST00000429779.1;ENST00000437877.1;ENST00000438959.5;ENST00000444373.6;ENST00000445959.5;ENST00000450235.5;ENST00000455998.5
ENSG00000002834.17	LASP1	LASP1	3927	NM_006148.3;NA;NM_001271608.1	ENST00000318008.10;ENST00000419929.1;ENST00000433206.6;ENST00000435347.7;ENST00000579123.1
ENSG00000002919.14	SNX11	SNX11	29916	NM_013323.2;NM_152244.1;NA	ENST00000359238.6;ENST00000393405.6;ENST00000452859.6;ENST00000580219.5;ENST00000581298.5;ENST00000582104.5;ENST00000582481.1;ENST00000584335.5
ENSG00000002933.7	TMEM176A	TMEM176A	55365	NM_018487.2;NA	ENST00000004103.7;ENST00000461345.5;ENST00000468689.1;ENST00000475536.5;ENST00000484928.5
ENSG00000003056.7	M6PR	M6PR	4074	NM_002355.3;NM_001207024.1;NA	ENST00000000412.7;ENST00000536844.5;ENST00000537621.1;ENST00000539143.5;ENST00000543159.1;ENST00000543704.5;ENST00000543845.1;ENST00000544193.1;ENST00000544245.1
ENSG00000003096.14	KLHL13	KLHL13	90293	NM_033495.3;NA;NM_001168300.1;NM_001168299.1;NM_001168302.1;NM_001168301.1;NM_001168303.1	ENST00000262820.7;ENST00000371876.5;ENST00000371878.5;ENST00000371882.5;ENST00000453826.1;ENST00000469946.5;ENST00000540167.5;ENST00000541812.5;ENST00000545703.5
ENSG00000003137.8	CYP26B1	CYP26B1	56603	NM_019885.3;NA;NM_001277742.1	ENST00000001146.6;ENST00000412253.1;ENST00000461519.1;ENST00000474509.1;ENST00000546307.5
ENSG00000003147.17	ICA1	ICA1	3382	NA;NM_022307.2;NM_001136020.2;NM_004968.3	ENST00000265577.11;ENST00000317367.9;ENST00000396675.7;ENST00000401396.5;ENST00000402384.7;ENST00000406470.6;ENST00000407906.5;ENST00000422063.6;ENST00000430867.5;ENST00000446305.1;ENST00000447326.5
ENSG00000003249.13	DBNDD1	DBNDD1	79007	NM_001042610.2;NM_024043.3;NA;NM_001288709.1	ENST00000002501.10;ENST00000304733.7;ENST00000392973.7;ENST00000568838.1
ENSG00000003393.14	ALS2	ALS2	57679	NM_020919.3;NA;NM_001135745.1	ENST00000264276.10;ENST00000409632.6;ENST00000410052.1;ENST00000467448.5
ENSG00000003400.14	CASP10	CASP10	843	NM_032974.4;NM_032977.3;NA;NM_001230.4;NM_001206524.1;NM_001306083.1;NM_001206542.1	ENST00000272879.9;ENST00000286186.10;ENST00000313728.11;ENST00000346817.9;ENST00000360132.7;ENST00000374650.7;ENST00000448480.1
ENSG00000003402.19	CFLAR	CFLAR	8837	NM_003879.5;NA;NM_001127184.2;NM_001202516.1;NM_001308043.1;NM_001127183.2;NM_001202517.1;NM_001308042.1;NM_001202518.1	ENST00000309955.7;ENST00000340870.6;ENST00000341222.10;ENST00000341582.10;ENST00000342795.9;ENST00000395148.6;ENST00000417748.1;ENST00000423241.6;ENST00000425030.1;ENST00000433445.1;ENST00000440180.5;ENST00000441224.5;ENST00000443227.5;ENST00000457277.5;ENST00000462763.5;ENST00000470178.6;ENST00000479953.6;ENST00000494258.5
ENSG00000003436.15	TFPI	TFPI	7035	NM_006287.4;NM_001032281.2;NA;NM_001318941.1	ENST00000233156.8;ENST00000339091.8;ENST00000392365.5;ENST00000409676.5;ENST00000417013.5;ENST00000420747.1;ENST00000421427.5;ENST00000435414.5;ENST00000437725.5;ENST00000453013.5
ENSG00000003509.15	NDUFAF7	NDUFAF7	55471	NM_144736.4;NM_001083946.1;NA	ENST00000002125.8;ENST00000336237.10;ENST00000416653.5;ENST00000431821.5;ENST00000432075.1;ENST00000439218.5
ENSG00000003756.16	RBM5	RBM5	10181	NM_005778.3;NA	ENST00000347869.7;ENST00000404526.6;ENST00000417905.1;ENST00000437500.5;ENST00000441305.5;ENST00000469838.5
ENSG00000003987.13	MTMR7	MTMR7	9108	NM_004686.4;NA	ENST00000180173.9;ENST00000521857.5
ENSG00000003989.17	SLC7A2	SLC7A2	6542	NM_001164771.1;NM_003046.5;NA;NM_001008539.3	ENST00000004531.14;ENST00000398090.3;ENST00000470360.5;ENST00000494857.5;ENST00000522656.5;ENST00000640220.1
ENSG00000004059.10	ARF5	ARF5	381	NM_001662.3;NA	ENST00000000233.9;ENST00000415666.1
ENSG00000004139.13	SARM1	SARM1	23098	NA;NM_015077.3	ENST00000578128.5;ENST00000579593.1;ENST00000585482.5
ENSG00000004142.11	POLDIP2	POLDIP2	26073	NM_015584.4;NM_001290145.1	ENST00000540200.5;ENST00000618887.2
ENSG00000004399.12	PLXND1	PLXND1	23129	NM_015103.2;NA	ENST00000324093.8;ENST00000504689.1;ENST00000505237.2;ENST00000506979.1
ENSG00000004455.16	AK2	AK2	204	NM_001625.3;NM_001199199.1;NM_001319141.1;NM_001319143.1;NA;NM_001319142.1;NR_134976.1	ENST00000354858.10;ENST00000373449.6;ENST00000467905.5;ENST00000480134.5;ENST00000487289.1;ENST00000548033.5;ENST00000626911.1;ENST00000629371.2
ENSG00000004468.12	CD38	CD38	952	NM_001775.3;NA	ENST00000226279.7;ENST00000510674.1
ENSG00000004478.7	FKBP4	FKBP4	2288	NM_002014.3;NA	ENST00000001008.5;ENST00000538622.1;ENST00000539181.1;ENST00000544366.1;ENST00000630279.1
ENSG00000004487.15	KDM1A	KDM1A	23028	NM_015013.3;NM_001009999.2;NA	ENST00000356634.7;ENST00000400181.8;ENST00000465864.1;ENST00000494920.1
ENSG00000004534.14	RBM6	RBM6	10180	NM_005777.2;NA;NM_001167582.1	ENST00000266022.8;ENST00000421682.1;ENST00000422955.5;ENST00000433811.1;ENST00000438912.1;ENST00000442092.5;ENST00000443081.5;ENST00000446471.1
ENSG00000004660.14	CAMKK1	CAMKK1	84254	NM_172207.2;NM_032294.2;NA	ENST00000158166.5;ENST00000348335.6;ENST00000381769.6
ENSG00000004700.15	RECQL	RECQL	5965	NA;NM_002907.3	ENST00000314748.10;ENST00000396093.7;ENST00000421138.6;ENST00000444129.6;ENST00000536240.5;ENST00000536964.5;ENST00000539672.1;ENST00000542432.5
ENSG00000004766.15	VPS50	VPS50	55610	NM_024553.2;NM_017667.3;NA;NM_001257998.1	ENST00000251739.9;ENST00000305866.9;ENST00000443443.1;ENST00000458530.1;ENST00000458707.1;ENST00000544910.5
ENSG00000004776.12	HSPB6	HSPB6	126393	NM_144617.2;NA	ENST00000004982.5;ENST00000587965.1;ENST00000592984.6
ENSG00000004777.18	ARHGAP33	ARHGAP33	115703	NA;NM_052948.3;NM_001172630.1	ENST00000007510.8;ENST00000314737.9;ENST00000378944.9;ENST00000587447.3;ENST00000588248.6
ENSG00000004779.9	NDUFAB1	NDUFAB1	4706	NM_005003.2;NA	ENST00000007516.7;ENST00000562133.5;ENST00000567761.1;ENST00000570319.5
ENSG00000004799.7	PDK4	PDK4	5166	NM_002612.3	ENST00000005178.5
ENSG00000004809.13	SLC22A16	SLC22A16	85413	NA;NM_033125.3	ENST00000330550.8;ENST00000368919.7;ENST00000424139.1;ENST00000434949.5;ENST00000437378.5;ENST00000451557.5
ENSG00000004838.13	ZMYND10	ZMYND10	51364	NM_015896.3;NM_001308379.1;NA	ENST00000231749.7;ENST00000360165.7;ENST00000442887.1
ENSG00000004846.16	ABCB5	ABCB5	340273	NM_178559.5;NM_001163941.1;NM_001163993.2;NM_001163942.1	ENST00000258738.10;ENST00000404938.6;ENST00000406935.5;ENST00000443026.6
ENSG00000004848.7	ARX	ARX	170302	NM_139058.2;NA	ENST00000379044.4;ENST00000637993.1
ENSG00000004864.13	SLC25A13	SLC25A13	10165	NA;NM_001160210.1	ENST00000265631.9;ENST00000416240.6
ENSG00000004866.20	ST7	ST7	7982	NM_021908.2;NA;NM_018412.3	ENST00000265437.9;ENST00000323984.7;ENST00000393443.5;ENST00000393444.7;ENST00000393446.6;ENST00000393447.8;ENST00000393449.5;ENST00000393451.7;ENST00000417919.5;ENST00000420755.5;ENST00000421345.5;ENST00000422922.5;ENST00000432298.5;ENST00000434836.5;ENST00000446490.5;ENST00000449366.5;ENST00000465133.5;ENST00000477742.5;ENST00000490039.1
ENSG00000004897.11	CDC27	CDC27	996	NM_001114091.2;NA	ENST00000066544.7;ENST00000527547.5;ENST00000531206.5;ENST00000571643.5;ENST00000575483.5
ENSG00000004939.13	SLC4A1	SLC4A1	6521	NM_000342.3;NA	ENST00000262418.10;ENST00000399246.3;ENST00000631130.1
